model_name,gpu_name,mean_duration,relevance_pass_rate,bert_raw_avg,bert_pass_rate,mpnet_raw_avg,mpnet_pass_rate,dpo_mean,dpo_norm_mean,rlhf_mean,rlhf_mean_norm,reciprocate_reward_mean,reciprocate_reward_mean_norm,total_reward,total_reward_excluding_relevance
Llama-2-13B-GPTQ,RTX_3090,5.661601336875765,0.8165566556655666,-0.016209334779053786,0.8360836083608361,0.6214467412391288,0.8377337733773378,-10.647083849009901,0.619667615057087,-1.2766477238591525,0.13664724476168258,-3.8978730844463634,0.08357339249093934,0.21690292445049542,0.2656312001690809
ReMM-SLERP-L2-13B-GPTQ,RTX_3090,3.2753172887855744,0.8273092369477911,-0.019865820782790176,0.8353413654618473,0.5932841561959091,0.8714859437751004,-12.485080948795181,0.3902117879275816,-0.16673618625572706,0.2752773770127431,1.3644407698251668,0.33322102393969955,0.2706466011093639,0.32714079454481365
Yarn-Llama-2-13B-64K-GPTQ,RTX_3090,,,,,,,,,,,,,0.0,0.0
Carl-Llama-2-13B-GPTQ,RTX_4090,0.46914700236186446,0.10040160642570281,-0.03820157855614477,0.10040160642570281,0.12503234394377163,0.1566265060240964,-14.402610441767068,0.1371317064187613,-0.6579621178004517,0.2011451524903018,0.441005859375,0.07022391349436288,0.01432376977611024,0.142664746970058
OpenAssistant-Llama2-13B-Orca-8K-3319-GPTQ,RTX_4090,3.185332852363586,0.748,-0.021356996951624702,0.752,0.5535011481717229,0.804,-12.73871875,0.3551650812625885,-0.2511437808163464,0.26978344082832334,0.9119375300279913,0.2897823303937912,0.22544540451102255,0.3013975996136665
Guanaco-13B-Uncensored-GPTQ,RTX_4090,7.371867873669468,0.912010705921713,-0.013551619751654597,0.9327534292405487,0.6750216130076887,0.9183673469387755,-10.329044386709603,0.6580105288326241,-1.070059575763633,0.15698976050495264,-3.6278423731237845,0.09800961621631624,0.26412007677337695,0.28960194771666314
Huginn-v3-13B-GPTQ,RTX_4090,3.981993635974256,0.9598393574297188,-0.014941123536746734,0.9598393574297188,0.6665143957398981,0.9799196787148594,-11.333803965863455,0.5344100009246044,0.054969726972156636,0.33564818503866234,1.7464611739793083,0.4271264683051282,0.40574349908994584,0.4227202145330398
Stheno-Inverted-L2-13B-GPTQ,RTX_3090,5.144669173890474,0.9857911733046286,-0.01341706393366781,0.9916038751345533,0.7027653480872945,0.9933261571582347,-11.002797446851453,0.5888832213098446,0.019698625099902875,0.3220611674344193,0.3221868564400982,0.32327546039104976,0.39675341557059224,0.402472071484036
LoKuS-13B-GPTQ,RTX_4090,5.750359392549139,0.9558232931726908,-0.014616635751472852,0.9759036144578314,0.6619975673386371,0.9759036144578314,-11.066076807228916,0.5865770146310569,-0.053439399610875724,0.30911534916923705,0.3420743541557248,0.33328097077258617,0.3819503668229373,0.39960353503744284
EverythingLM-13b-V2-16K-GPTQ,RTX_3090,5.647162641525268,0.784,-0.01942680029943581,0.792,0.5356347397901118,0.792,-11.12846875,0.5533042984008789,-0.3121036412769463,0.2712966080904007,-0.9449231673260124,0.19975657641887665,0.2621985343070984,0.33443690600395204
Huginn-13B-v4-GPTQ,RTX_3090,5.016678727774257,0.963855421686747,-0.014776607440507749,0.9718875502008032,0.664095966930849,0.9879518072289156,-11.351389934738956,0.5324150779879236,0.045011612418365765,0.32733314571131666,1.4728151043256124,0.40556389368681545,0.39742356554058045,0.4123269492483522
